compute CDER for magicdata-ramc
currently, compute dev set in 0.2 threshold mode
CTS-CN-F2F-2019-11-15-153 CDER = 0.446
Avg CDER : 0.467
currently, compute test set in 0.3 threshold mode
CTS-CN-F2F-2019-11-04-387 CDER = 0.983
CTS-CN-F2F-2019-11-11-193 CDER = 0.277
CTS-CN-F2F-2019-11-11-198 CDER = 0.500
CTS-CN-F2F-2019-11-11-390 CDER = 0.663
CTS-CN-F2F-2019-11-11-423 CDER = 0.111
CTS-CN-F2F-2019-11-11-431 CDER = 1.333
CTS-CN-F2F-2019-11-11-716 CDER = 0.154
CTS-CN-F2F-2019-11-15-3 CDER = 0.135
CTS-CN-F2F-2019-11-15-8 CDER = 0.148
CTS-CN-F2F-2019-11-15-9 CDER = 0.680
CTS-CN-F2F-2019-11-15-17 CDER = 0.341
CTS-CN-F2F-2019-11-15-26 CDER = 0.166
CTS-CN-F2F-2019-11-15-27 CDER = 0.197
CTS-CN-F2F-2019-11-15-37 CDER = 0.156
CTS-CN-F2F-2019-11-15-39 CDER = 0.096
CTS-CN-F2F-2019-11-15-45 CDER = 0.269
CTS-CN-F2F-2019-11-15-52 CDER = 0.217
CTS-CN-F2F-2019-11-15-53 CDER = 0.088
CTS-CN-F2F-2019-11-15-56 CDER = 0.175
CTS-CN-F2F-2019-11-15-65 CDER = 0.280
CTS-CN-F2F-2019-11-15-68 CDER = 0.173
CTS-CN-F2F-2019-11-15-73 CDER = 0.091
CTS-CN-F2F-2019-11-15-75 CDER = 0.189
CTS-CN-F2F-2019-11-15-77 CDER = 0.368
CTS-CN-F2F-2019-11-15-81 CDER = 0.295
CTS-CN-F2F-2019-11-15-82 CDER = 0.089
CTS-CN-F2F-2019-11-15-88 CDER = 0.148
CTS-CN-F2F-2019-11-15-91 CDER = 0.282
CTS-CN-F2F-2019-11-15-94 CDER = 0.474
CTS-CN-F2F-2019-11-15-100 CDER = 0.076
CTS-CN-F2F-2019-11-15-101 CDER = 0.333
CTS-CN-F2F-2019-11-15-105 CDER = 0.600
CTS-CN-F2F-2019-11-15-121 CDER = 0.227
CTS-CN-F2F-2019-11-15-123 CDER = 1.150
CTS-CN-F2F-2019-11-15-126 CDER = 0.081
CTS-CN-F2F-2019-11-15-128 CDER = 0.290
CTS-CN-F2F-2019-11-15-135 CDER = 0.248
CTS-CN-F2F-2019-11-15-138 CDER = 0.313
CTS-CN-F2F-2019-11-15-142 CDER = 0.272
CTS-CN-F2F-2019-11-15-144 CDER = 0.939
CTS-CN-F2F-2019-11-15-150 CDER = 0.202
CTS-CN-F2F-2019-11-15-151 CDER = 0.245
CTS-CN-F2F-2019-11-15-153 CDER = 0.392
Avg CDER : 0.336
currently, compute test set in 0.35 threshold mode
CTS-CN-F2F-2019-11-04-387 CDER = 0.865
CTS-CN-F2F-2019-11-11-193 CDER = 0.246
CTS-CN-F2F-2019-11-11-198 CDER = 0.474
CTS-CN-F2F-2019-11-11-390 CDER = 0.584
CTS-CN-F2F-2019-11-11-423 CDER = 0.067
CTS-CN-F2F-2019-11-11-431 CDER = 1.042
CTS-CN-F2F-2019-11-11-716 CDER = 0.096
CTS-CN-F2F-2019-11-15-3 CDER = 0.108
CTS-CN-F2F-2019-11-15-8 CDER = 0.131
CTS-CN-F2F-2019-11-15-9 CDER = 0.660
CTS-CN-F2F-2019-11-15-17 CDER = 0.328
CTS-CN-F2F-2019-11-15-26 CDER = 0.142
CTS-CN-F2F-2019-11-15-27 CDER = 0.164
CTS-CN-F2F-2019-11-15-37 CDER = 0.133
CTS-CN-F2F-2019-11-15-39 CDER = 0.092
CTS-CN-F2F-2019-11-15-45 CDER = 0.228
CTS-CN-F2F-2019-11-15-52 CDER = 0.189
CTS-CN-F2F-2019-11-15-53 CDER = 0.080
CTS-CN-F2F-2019-11-15-56 CDER = 0.152
CTS-CN-F2F-2019-11-15-65 CDER = 0.241
CTS-CN-F2F-2019-11-15-68 CDER = 0.143
CTS-CN-F2F-2019-11-15-73 CDER = 0.039
CTS-CN-F2F-2019-11-15-75 CDER = 0.189
CTS-CN-F2F-2019-11-15-77 CDER = 0.105
CTS-CN-F2F-2019-11-15-81 CDER = 0.293
CTS-CN-F2F-2019-11-15-82 CDER = 0.071
CTS-CN-F2F-2019-11-15-88 CDER = 0.125
CTS-CN-F2F-2019-11-15-91 CDER = 0.241
CTS-CN-F2F-2019-11-15-94 CDER = 0.461
CTS-CN-F2F-2019-11-15-100 CDER = 0.076
CTS-CN-F2F-2019-11-15-101 CDER = 0.321
CTS-CN-F2F-2019-11-15-105 CDER = 0.600
CTS-CN-F2F-2019-11-15-121 CDER = 0.216
CTS-CN-F2F-2019-11-15-123 CDER = 1.433
CTS-CN-F2F-2019-11-15-126 CDER = 0.056
CTS-CN-F2F-2019-11-15-128 CDER = 0.274
CTS-CN-F2F-2019-11-15-135 CDER = 0.191
CTS-CN-F2F-2019-11-15-138 CDER = 0.270
CTS-CN-F2F-2019-11-15-142 CDER = 0.242
CTS-CN-F2F-2019-11-15-144 CDER = 0.839
CTS-CN-F2F-2019-11-15-150 CDER = 0.182
CTS-CN-F2F-2019-11-15-151 CDER = 0.215
CTS-CN-F2F-2019-11-15-153 CDER = 0.338
Avg CDER : 0.301
currently, compute test set in 0.4 threshold mode
CTS-CN-F2F-2019-11-04-387 CDER = 0.769
CTS-CN-F2F-2019-11-11-193 CDER = 0.185
CTS-CN-F2F-2019-11-11-198 CDER = 0.395
CTS-CN-F2F-2019-11-11-390 CDER = 0.490
CTS-CN-F2F-2019-11-11-423 CDER = 0.044
CTS-CN-F2F-2019-11-11-431 CDER = 0.854
CTS-CN-F2F-2019-11-11-716 CDER = 0.096
CTS-CN-F2F-2019-11-15-3 CDER = 0.104
