compute CDER for magicdata-ramc
currently, compute dev set in 0.2 threshold mode
CTS-CN-F2F-2019-11-15-17 CDER = 0.307
CTS-CN-F2F-2019-11-15-26 CDER = 0.126
CTS-CN-F2F-2019-11-15-27 CDER = 0.144
CTS-CN-F2F-2019-11-15-37 CDER = 0.133
CTS-CN-F2F-2019-11-15-39 CDER = 0.074
CTS-CN-F2F-2019-11-15-45 CDER = 0.202
CTS-CN-F2F-2019-11-15-52 CDER = 0.154
CTS-CN-F2F-2019-11-15-53 CDER = 0.072
CTS-CN-F2F-2019-11-15-56 CDER = 0.142
CTS-CN-F2F-2019-11-15-65 CDER = 0.205
CTS-CN-F2F-2019-11-15-68 CDER = 0.135
CTS-CN-F2F-2019-11-15-73 CDER = 0.026
CTS-CN-F2F-2019-11-15-75 CDER = 0.094
CTS-CN-F2F-2019-11-15-77 CDER = 0.105
CTS-CN-F2F-2019-11-15-81 CDER = 0.273
CTS-CN-F2F-2019-11-15-82 CDER = 0.000
CTS-CN-F2F-2019-11-15-88 CDER = 0.074
CTS-CN-F2F-2019-11-15-91 CDER = 0.212
CTS-CN-F2F-2019-11-15-94 CDER = 0.388
CTS-CN-F2F-2019-11-15-100 CDER = 0.053
CTS-CN-F2F-2019-11-15-101 CDER = 0.278
CTS-CN-F2F-2019-11-15-105 CDER = 0.600
CTS-CN-F2F-2019-11-15-121 CDER = 0.182
CTS-CN-F2F-2019-11-15-123 CDER = 1.811
CTS-CN-F2F-2019-11-15-126 CDER = 0.041
CTS-CN-F2F-2019-11-15-128 CDER = 0.245
CTS-CN-F2F-2019-11-15-135 CDER = 0.173
CTS-CN-F2F-2019-11-15-138 CDER = 0.208
CTS-CN-F2F-2019-11-15-142 CDER = 0.219
CTS-CN-F2F-2019-11-15-144 CDER = 0.742
CTS-CN-F2F-2019-11-15-150 CDER = 0.131
CTS-CN-F2F-2019-11-15-151 CDER = 0.189
CTS-CN-F2F-2019-11-15-153 CDER = 0.300
Avg CDER : 0.272
currently, compute test set in 0.45 threshold mode
CTS-CN-F2F-2019-11-04-387 CDER = 0.648
CTS-CN-F2F-2019-11-11-193 CDER = 0.138
CTS-CN-F2F-2019-11-11-198 CDER = 0.342
CTS-CN-F2F-2019-11-11-390 CDER = 0.460
CTS-CN-F2F-2019-11-11-423 CDER = 0.022
CTS-CN-F2F-2019-11-11-431 CDER = 0.542
CTS-CN-F2F-2019-11-11-716 CDER = 0.096
CTS-CN-F2F-2019-11-15-3 CDER = 0.087
CTS-CN-F2F-2019-11-15-8 CDER = 0.033
CTS-CN-F2F-2019-11-15-9 CDER = 0.531
CTS-CN-F2F-2019-11-15-17 CDER = 0.286
CTS-CN-F2F-2019-11-15-26 CDER = 0.092
CTS-CN-F2F-2019-11-15-27 CDER = 0.141
CTS-CN-F2F-2019-11-15-37 CDER = 0.133
CTS-CN-F2F-2019-11-15-39 CDER = 0.059
CTS-CN-F2F-2019-11-15-45 CDER = 0.164
CTS-CN-F2F-2019-11-15-52 CDER = 0.115
CTS-CN-F2F-2019-11-15-53 CDER = 0.062
CTS-CN-F2F-2019-11-15-56 CDER = 0.129
CTS-CN-F2F-2019-11-15-65 CDER = 0.153
CTS-CN-F2F-2019-11-15-68 CDER = 0.118
CTS-CN-F2F-2019-11-15-73 CDER = 0.026
CTS-CN-F2F-2019-11-15-75 CDER = 0.085
CTS-CN-F2F-2019-11-15-77 CDER = 0.105
CTS-CN-F2F-2019-11-15-81 CDER = 0.245
CTS-CN-F2F-2019-11-15-82 CDER = 0.000
CTS-CN-F2F-2019-11-15-88 CDER = 0.068
CTS-CN-F2F-2019-11-15-91 CDER = 0.209
CTS-CN-F2F-2019-11-15-94 CDER = 0.307
CTS-CN-F2F-2019-11-15-100 CDER = 0.053
CTS-CN-F2F-2019-11-15-101 CDER = 0.245
CTS-CN-F2F-2019-11-15-105 CDER = 0.600
CTS-CN-F2F-2019-11-15-121 CDER = 0.114
CTS-CN-F2F-2019-11-15-123 CDER = 1.894
CTS-CN-F2F-2019-11-15-126 CDER = 0.041
CTS-CN-F2F-2019-11-15-128 CDER = 0.175
CTS-CN-F2F-2019-11-15-135 CDER = 0.152
CTS-CN-F2F-2019-11-15-138 CDER = 0.166
CTS-CN-F2F-2019-11-15-142 CDER = 0.219
CTS-CN-F2F-2019-11-15-144 CDER = 0.670
CTS-CN-F2F-2019-11-15-150 CDER = 0.121
CTS-CN-F2F-2019-11-15-151 CDER = 0.157
CTS-CN-F2F-2019-11-15-153 CDER = 0.262
Avg CDER : 0.239
currently, compute test set in 0.5 threshold mode
CTS-CN-F2F-2019-11-04-387 CDER = 0.425
CTS-CN-F2F-2019-11-11-193 CDER = 0.108
CTS-CN-F2F-2019-11-11-198 CDER = 0.237
CTS-CN-F2F-2019-11-11-390 CDER = 0.277
CTS-CN-F2F-2019-11-11-423 CDER = 0.044
CTS-CN-F2F-2019-11-11-431 CDER = 0.333
CTS-CN-F2F-2019-11-11-716 CDER = 0.077
CTS-CN-F2F-2019-11-15-3 CDER = 0.042
CTS-CN-F2F-2019-11-15-8 CDER = 0.033
CTS-CN-F2F-2019-11-15-9 CDER = 0.381
CTS-CN-F2F-2019-11-15-17 CDER = 0.269
CTS-CN-F2F-2019-11-15-26 CDER = 0.074
CTS-CN-F2F-2019-11-15-27 CDER = 0.144
CTS-CN-F2F-2019-11-15-37 CDER = 0.089
CTS-CN-F2F-2019-11-15-39 CDER = 0.037
CTS-CN-F2F-2019-11-15-45 CDER = 0.143
CTS-CN-F2F-2019-11-15-52 CDER = 0.087
CTS-CN-F2F-2019-11-15-53 CDER = 0.050
CTS-CN-F2F-2019-11-15-56 CDER = 0.092
CTS-CN-F2F-2019-11-15-65 CDER = 0.139
CTS-CN-F2F-2019-11-15-68 CDER = 0.114
CTS-CN-F2F-2019-11-15-73 CDER = 0.000
CTS-CN-F2F-2019-11-15-75 CDER = 0.066
CTS-CN-F2F-2019-11-15-77 CDER = 0.105
CTS-CN-F2F-2019-11-15-81 CDER = 0.203
CTS-CN-F2F-2019-11-15-82 CDER = 0.000
CTS-CN-F2F-2019-11-15-88 CDER = 0.062
CTS-CN-F2F-2019-11-15-91 CDER = 0.197
CTS-CN-F2F-2019-11-15-94 CDER = 0.213
CTS-CN-F2F-2019-11-15-100 CDER = 0.015
CTS-CN-F2F-2019-11-15-101 CDER = 0.205
CTS-CN-F2F-2019-11-15-105 CDER = 0.600
CTS-CN-F2F-2019-11-15-121 CDER = 0.045
CTS-CN-F2F-2019-11-15-123 CDER = 0.169
CTS-CN-F2F-2019-11-15-126 CDER = 0.025
CTS-CN-F2F-2019-11-15-128 CDER = 0.153
CTS-CN-F2F-2019-11-15-135 CDER = 0.119
CTS-CN-F2F-2019-11-15-138 CDER = 0.127
